date,Confirmed_Cases,Probable_Cases,Total_Cases,7-day_Average_of_Confirmed_Cases,7-day_Average_of_Probable_Cases,7-day_Average of_Total_cases,status,ETLdate
02/10/2021 12:00:00 AM +0000,3777,997,4774,,,,Update,05/11/2021 11:10:05 PM +0000
02/11/2021 12:00:00 AM +0000,3416,927,4343,,,,Update,05/12/2021 11:10:03 PM +0000
02/12/2021 12:00:00 AM +0000,3320,854,4174,3344,942,4286,Update,05/07/2021 11:10:03 PM +0000
02/13/2021 12:00:00 AM +0000,2204,825,3029,,,,Update,05/09/2021 11:10:04 PM +0000
02/14/2021 12:00:00 AM +0000,1893,803,2696,,,,Update,05/13/2021 11:10:03 PM +0000
02/15/2021 12:00:00 AM +0000,2842,708,3550,3026,878,3904,Update,05/09/2021 11:10:04 PM +0000
02/16/2021 12:00:00 AM +0000,3723,964,4687,,,,Update,05/17/2021 11:10:04 PM +0000
02/17/2021 12:00:00 AM +0000,3442,1037,4479,,,,Update,05/18/2021 11:10:03 PM +0000
02/18/2021 12:00:00 AM +0000,2043,806,2849,,,,Update,05/18/2021 11:10:03 PM +0000
12/12/2020 12:00:00 AM +0000,2200,589,2789,,,,Update,04/01/2021 04:13:11 PM +0000
12/13/2020 12:00:00 AM +0000,2173,904,3077,,,,Update,04/01/2021 04:13:12 PM +0000
12/14/2020 12:00:00 AM +0000,3574,1092,4666,,,,Update,04/01/2021 04:13:09 PM +0000
12/15/2020 12:00:00 AM +0000,3668,954,4622,,,,Update,04/01/2021 04:13:13 PM +0000
12/16/2020 12:00:00 AM +0000,2785,788,3573,,,,Update,04/01/2021 04:13:16 PM +0000
12/17/2020 12:00:00 AM +0000,1924,776,2700,,,,Update,04/01/2021 04:13:16 PM +0000
12/18/2020 12:00:00 AM +0000,3428,845,4273,,,,Update,04/01/2021 04:13:19 PM +0000
12/19/2020 12:00:00 AM +0000,2558,695,3253,,,,Update,04/01/2021 04:13:20 PM +0000
12/20/2020 12:00:00 AM +0000,2350,720,3070,,,,Update,04/01/2021 04:13:20 PM +0000
12/21/2020 12:00:00 AM +0000,4339,1054,5393,,,,Update,04/01/2021 04:13:22 PM +0000
12/22/2020 12:00:00 AM +0000,4101,959,5060,,,,Update,04/01/2021 04:13:23 PM +0000
12/23/2020 12:00:00 AM +0000,3842,940,4782,,,,Update,04/01/2021 04:13:24 PM +0000
12/24/2020 12:00:00 AM +0000,3014,640,3654,,,,Update,04/01/2021 04:13:25 PM +0000
12/25/2020 12:00:00 AM +0000,1047,602,1649,,,,Update,04/01/2021 04:13:26 PM +0000
12/26/2020 12:00:00 AM +0000,3446,906,4352,,,,Update,04/01/2021 04:13:27 PM +0000
12/27/2020 12:00:00 AM +0000,2887,934,3821,,,,Update,04/01/2021 04:13:28 PM +0000
12/28/2020 12:00:00 AM +0000,5378,1211,6589,,,,Update,04/01/2021 04:13:29 PM +0000
12/29/2020 12:00:00 AM +0000,5206,1016,6222,,,,Update,04/01/2021 04:13:30 PM +0000
12/30/2020 12:00:00 AM +0000,4968,1066,6034,,,,Update,04/01/2021 04:13:30 PM +0000
12/31/2020 12:00:00 AM +0000,3380,781,4161,,,,Update,04/01/2021 04:13:32 PM +0000
01/01/2021 12:00:00 AM +0000,1325,793,2118,,,,Update,04/15/2021 10:42:24 AM +0000
01/02/2021 12:00:00 AM +0000,4188,1074,5262,,,,Update,04/15/2021 10:42:25 AM +0000
01/03/2021 12:00:00 AM +0000,3447,994,4441,,,,Update,04/15/2021 10:42:26 AM +0000
01/04/2021 12:00:00 AM +0000,6570,1414,7984,,,,Update,04/15/2021 10:42:26 AM +0000
01/05/2021 12:00:00 AM +0000,6138,1357,7495,,,,Update,04/15/2021 10:44:05 AM +0000
01/06/2021 12:00:00 AM +0000,5659,1270,6929,,,,Update,04/15/2021 10:44:06 AM +0000
01/07/2021 12:00:00 AM +0000,5400,1177,6577,,,,Update,04/15/2021 10:44:07 AM +0000
01/08/2021 12:00:00 AM +0000,5295,1096,6391,,,,Update,04/15/2021 03:24:52 PM +0000
01/09/2021 12:00:00 AM +0000,3689,908,4597,,,,Update,04/15/2021 03:24:53 PM +0000
01/10/2021 12:00:00 AM +0000,3199,990,4189,,,,Update,04/15/2021 03:24:54 PM +0000
01/11/2021 12:00:00 AM +0000,5888,1357,7245,,,,Update,04/15/2021 03:24:54 PM +0000
01/12/2021 12:00:00 AM +0000,5220,1185,6405,,,,Update,04/15/2021 03:24:56 PM +0000
01/13/2021 12:00:00 AM +0000,5162,1227,6389,,,,Update,04/15/2021 03:24:57 PM +0000
01/14/2021 12:00:00 AM +0000,5248,1143,6391,,,,Update,04/15/2021 03:24:58 PM +0000
01/17/2021 12:00:00 AM +0000,2904,1045,3949,,,,Update,04/21/2021 02:55:39 PM +0000
01/18/2021 12:00:00 AM +0000,4631,1327,5958,,,,Update,04/21/2021 02:55:40 PM +0000
01/19/2021 12:00:00 AM +0000,5134,1350,6484,,,,Update,04/21/2021 02:55:38 PM +0000
01/20/2021 12:00:00 AM +0000,4906,1275,6181,,,,Update,04/21/2021 02:55:40 PM +0000
01/30/2021 12:00:00 AM +0000,2859,835,3694,,,,Update,04/30/2021 11:09:53 PM +0000
03/01/2021 12:00:00 AM +0000,3728,1183,4911,,,,Update,05/30/2021 11:10:03 PM +0000
03/02/2021 12:00:00 AM +0000,3110,1022,4132,,,,Update,05/30/2021 11:10:03 PM +0000
03/03/2021 12:00:00 AM +0000,3241,1129,4370,,,,Update,05/30/2021 11:10:03 PM +0000
03/04/2021 12:00:00 AM +0000,3121,1006,4127,,,,Update,06/02/2021 11:10:02 PM +0000
03/05/2021 12:00:00 AM +0000,2888,908,3796,,,,Update,06/03/2021 11:10:02 PM +0000
03/06/2021 12:00:00 AM +0000,2048,699,2747,2882,976,3859,Update,05/27/2021 11:10:03 PM +0000
03/07/2021 12:00:00 AM +0000,1879,851,2730,,,,Update,06/05/2021 11:10:03 PM +0000
03/08/2021 12:00:00 AM +0000,3401,1169,4570,,,,Update,06/05/2021 11:10:03 PM +0000
03/09/2021 12:00:00 AM +0000,3334,1089,4423,,,,Update,06/05/2021 11:10:03 PM +0000
03/10/2021 12:00:00 AM +0000,3204,1102,4306,2839,975,3814,Update,06/01/2021 11:10:03 PM +0000
03/11/2021 12:00:00 AM +0000,3100,1022,4122,,,,Update,06/08/2021 11:10:03 PM +0000
03/12/2021 12:00:00 AM +0000,3208,895,4103,,,,Update,06/10/2021 11:10:02 PM +0000
03/13/2021 12:00:00 AM +0000,2173,831,3004,,,,Update,06/10/2021 11:10:02 PM +0000
03/14/2021 12:00:00 AM +0000,1921,817,2738,,,,Update,06/09/2021 11:10:02 PM +0000
03/15/2021 12:00:00 AM +0000,3397,1098,4495,,,,Update,06/12/2021 11:10:03 PM +0000
03/16/2021 12:00:00 AM +0000,3195,997,4192,,,,Update,06/14/2021 11:10:02 PM +0000
03/17/2021 12:00:00 AM +0000,3174,1133,4307,,,,Update,06/12/2021 11:10:03 PM +0000
03/18/2021 12:00:00 AM +0000,2919,995,3914,,,,Update,06/12/2021 11:10:03 PM +0000
03/19/2021 12:00:00 AM +0000,3048,1026,4074,,,,Update,06/14/2021 11:10:02 PM +0000
03/20/2021 12:00:00 AM +0000,2159,897,3056,2831,995,3825,Update,06/12/2021 11:10:03 PM +0000
03/21/2021 12:00:00 AM +0000,2083,827,2910,2854,996,3850,Update,06/12/2021 11:10:03 PM +0000
03/22/2021 12:00:00 AM +0000,3868,1250,5118,2921,1018,3939,Update,06/14/2021 11:10:02 PM +0000
03/23/2021 12:00:00 AM +0000,3241,1118,4359,2927,1035,3963,Update,06/14/2021 11:10:02 PM +0000
03/24/2021 12:00:00 AM +0000,3467,1166,4633,2969,1040,4009,Update,06/14/2021 11:10:02 PM +0000
03/25/2021 12:00:00 AM +0000,3794,1222,5016,3094,1072,4167,Update,06/14/2021 11:10:02 PM +0000
03/26/2021 12:00:00 AM +0000,3422,1032,4454,3148,1073,4221,Update,06/14/2021 11:10:02 PM +0000
03/27/2021 12:00:00 AM +0000,2220,821,3041,3156,1062,4219,Update,06/14/2021 11:10:02 PM +0000
03/28/2021 12:00:00 AM +0000,1750,721,2471,3109,1047,4156,Update,06/14/2021 11:10:02 PM +0000
03/29/2021 12:00:00 AM +0000,3544,1208,4752,3063,1041,4104,Update,06/14/2021 11:10:02 PM +0000
03/30/2021 12:00:00 AM +0000,3171,984,4155,3053,1022,4075,Update,06/14/2021 11:10:02 PM +0000
03/31/2021 12:00:00 AM +0000,3178,992,4170,3011,997,4008,Update,06/14/2021 11:10:02 PM +0000
04/01/2021 12:00:00 AM +0000,2858,862,3720,2878,946,3823,Update,06/14/2021 11:10:02 PM +0000
04/02/2021 12:00:00 AM +0000,2621,802,3423,2763,913,3676,Update,06/14/2021 11:10:02 PM +0000
04/03/2021 12:00:00 AM +0000,2046,584,2630,2738,879,3617,Update,06/14/2021 11:10:02 PM +0000
04/04/2021 12:00:00 AM +0000,1467,601,2068,2698,862,3560,Update,06/08/2021 11:10:03 PM +0000
01/21/2021 12:00:00 AM +0000,4916,1247,6163,,,,Update,04/22/2021 02:04:08 PM +0000
01/22/2021 12:00:00 AM +0000,4694,1236,5930,,,,Update,04/21/2021 02:55:40 PM +0000
02/01/2021 12:00:00 AM +0000,976,557,1533,,,,Update,05/02/2021 11:10:06 PM +0000
02/02/2021 12:00:00 AM +0000,2663,542,3205,,,,Update,05/03/2021 11:10:04 PM +0000
02/03/2021 12:00:00 AM +0000,5132,1093,6225,,,,Update,05/03/2021 11:10:04 PM +0000
02/04/2021 12:00:00 AM +0000,4856,1129,5985,,,,Update,05/05/2021 11:10:03 PM +0000
02/05/2021 12:00:00 AM +0000,4154,1129,5283,,,,Update,05/06/2021 11:10:03 PM +0000
02/06/2021 12:00:00 AM +0000,3083,872,3955,,,,Update,05/07/2021 11:10:03 PM +0000
02/07/2021 12:00:00 AM +0000,1649,734,2383,,,,Update,05/07/2021 11:10:03 PM +0000
02/08/2021 12:00:00 AM +0000,4435,1174,5609,,,,Update,05/09/2021 11:10:04 PM +0000
04/07/2021 12:00:00 AM +0000,2763,851,3614,2576,803,3379,Update,06/14/2021 11:10:02 PM +0000
04/08/2021 12:00:00 AM +0000,2566,753,3319,2534,787,3321,Update,06/14/2021 11:10:02 PM +0000
04/09/2021 12:00:00 AM +0000,2470,756,3226,2513,780,3293,Update,06/14/2021 11:10:02 PM +0000
04/10/2021 12:00:00 AM +0000,1725,603,2328,2467,783,3250,Update,06/10/2021 11:10:02 PM +0000
04/11/2021 12:00:00 AM +0000,1315,628,1943,2445,787,3232,Update,06/14/2021 11:10:02 PM +0000
04/12/2021 12:00:00 AM +0000,2539,815,3354,2340,763,3103,Update,06/13/2021 11:10:03 PM +0000
04/13/2021 12:00:00 AM +0000,2360,721,3081,2248,732,2981,Update,06/14/2021 11:10:02 PM +0000
04/14/2021 12:00:00 AM +0000,2246,651,2897,2174,704,2878,Update,06/12/2021 11:10:03 PM +0000
04/15/2021 12:00:00 AM +0000,2016,604,2620,2096,683,2778,Update,06/13/2021 11:10:03 PM +0000
04/16/2021 12:00:00 AM +0000,1837,636,2473,2005,665,2671,Update,06/13/2021 11:10:03 PM +0000
04/17/2021 12:00:00 AM +0000,1272,449,1721,1941,643,2584,Update,06/13/2021 11:10:03 PM +0000
04/18/2021 12:00:00 AM +0000,1051,478,1529,1903,622,2525,Update,06/14/2021 11:10:02 PM +0000
04/19/2021 12:00:00 AM +0000,1887,609,2496,1810,593,2402,Update,06/14/2021 11:10:02 PM +0000
02/19/2021 12:00:00 AM +0000,3022,995,4017,,,,Update,05/20/2021 11:10:03 PM +0000
02/20/2021 12:00:00 AM +0000,2497,933,3430,,,,Update,05/20/2021 11:10:03 PM +0000
02/21/2021 12:00:00 AM +0000,2281,588,2869,,,,Update,05/21/2021 11:10:03 PM +0000
02/22/2021 12:00:00 AM +0000,3619,982,4601,,,,Update,05/22/2021 11:10:04 PM +0000
02/23/2021 12:00:00 AM +0000,3475,1062,4537,,,,Update,05/24/2021 11:10:03 PM +0000
02/24/2021 12:00:00 AM +0000,3461,1005,4466,,,,Update,05/25/2021 11:10:03 PM +0000
02/25/2021 12:00:00 AM +0000,3483,987,4470,,,,Update,05/24/2021 11:10:03 PM +0000
02/26/2021 12:00:00 AM +0000,3243,986,4229,,,,Update,05/26/2021 11:10:04 PM +0000
02/27/2021 12:00:00 AM +0000,2011,798,2809,,,,Update,05/25/2021 11:10:03 PM +0000
02/28/2021 12:00:00 AM +0000,2038,887,2925,,,,Update,05/24/2021 11:10:03 PM +0000
04/05/2021 12:00:00 AM +0000,3273,983,4256,2659,830,3489,Update,06/09/2021 11:10:02 PM +0000
04/06/2021 12:00:00 AM +0000,3004,935,3939,2635,823,3458,Update,06/12/2021 11:10:03 PM +0000
04/20/2021 12:00:00 AM +0000,1598,491,2089,1701,560,2261,Update,06/12/2021 11:10:03 PM +0000
04/21/2021 12:00:00 AM +0000,1416,542,1958,1582,544,2127,Update,06/14/2021 11:10:02 PM +0000
04/22/2021 12:00:00 AM +0000,1359,430,1789,1489,519,2008,Update,06/14/2021 11:10:02 PM +0000
04/23/2021 12:00:00 AM +0000,1290,404,1694,1410,486,1897,Update,06/14/2021 11:10:02 PM +0000
04/24/2021 12:00:00 AM +0000,849,322,1171,1350,468,1818,Update,06/03/2021 11:10:02 PM +0000
04/25/2021 12:00:00 AM +0000,755,284,1039,1308,440,1748,Update,06/10/2021 11:10:02 PM +0000
04/26/2021 12:00:00 AM +0000,1364,370,1734,1233,406,1639,Update,06/09/2021 11:10:02 PM +0000
04/27/2021 12:00:00 AM +0000,1139,356,1495,1167,387,1554,Update,06/14/2021 11:10:02 PM +0000
04/28/2021 12:00:00 AM +0000,1211,384,1595,1138,364,1502,Update,06/14/2021 11:10:02 PM +0000
04/29/2021 12:00:00 AM +0000,1052,322,1374,1094,349,1443,Update,06/14/2021 11:10:02 PM +0000
05/03/2021 12:00:00 AM +0000,908,289,1197,911,301,1212,Update,06/10/2021 11:10:02 PM +0000
05/05/2021 12:00:00 AM +0000,758,228,986,806,262,1067,Update,06/14/2021 11:10:02 PM +0000
05/06/2021 12:00:00 AM +0000,756,238,994,763,250,1013,Update,06/10/2021 11:10:02 PM +0000
05/07/2021 12:00:00 AM +0000,697,206,903,726,234,960,Update,06/09/2021 11:10:02 PM +0000
05/08/2021 12:00:00 AM +0000,374,149,523,700,223,923,Update,06/09/2021 11:10:02 PM +0000
05/09/2021 12:00:00 AM +0000,328,140,468,668,212,880,Update,06/09/2021 11:10:02 PM +0000
05/10/2021 12:00:00 AM +0000,644,206,850,630,200,830,Update,06/14/2021 11:10:02 PM +0000
05/12/2021 12:00:00 AM +0000,579,169,748,570,185,755,Update,06/14/2021 11:10:02 PM +0000
05/13/2021 12:00:00 AM +0000,496,139,635,533,170,703,Update,06/14/2021 11:10:02 PM +0000
05/15/2021 12:00:00 AM +0000,281,103,384,487,161,648,Update,06/14/2021 11:10:02 PM +0000
05/17/2021 12:00:00 AM +0000,448,136,584,452,149,601,Update,06/14/2021 11:10:02 PM +0000
05/18/2021 12:00:00 AM +0000,403,132,535,422,142,563,Update,06/14/2021 11:10:02 PM +0000
05/20/2021 12:00:00 AM +0000,382,93,475,374,131,505,Update,06/14/2021 11:10:02 PM +0000
05/21/2021 12:00:00 AM +0000,344,89,433,356,117,473,Update,06/12/2021 11:10:03 PM +0000
05/23/2021 12:00:00 AM +0000,176,59,235,335,105,440,Update,06/14/2021 11:10:02 PM +0000
05/25/2021 12:00:00 AM +0000,299,94,393,305,98,403,Update,06/14/2021 11:10:02 PM +0000
05/27/2021 12:00:00 AM +0000,249,71,320,269,85,353,Update,06/14/2021 11:10:02 PM +0000
05/28/2021 12:00:00 AM +0000,208,54,262,249,80,329,Update,06/14/2021 11:10:02 PM +0000
05/29/2021 12:00:00 AM +0000,128,51,179,235,75,309,Update,06/14/2021 11:10:02 PM +0000
06/04/2021 12:00:00 AM +0000,210,60,270,178,58,236,Update,06/14/2021 11:10:02 PM +0000
06/09/2021 12:00:00 AM +0000,198,49,247,175,53,228,Update,06/14/2021 11:10:02 PM +0000
06/10/2021 12:00:00 AM +0000,139,53,192,167,54,221,Update,06/14/2021 11:10:02 PM +0000
06/13/2021 12:00:00 AM +0000,79,21,100,154,47,200,Insert,06/14/2021 11:10:02 PM +0000
05/19/2021 12:00:00 AM +0000,362,140,502,391,137,528,Update,06/14/2021 11:10:02 PM +0000
05/31/2021 12:00:00 AM +0000,106,67,173,192,64,256,Update,06/13/2021 11:10:03 PM +0000
06/02/2021 12:00:00 AM +0000,224,74,298,185,61,246,Update,06/14/2021 11:10:02 PM +0000
06/05/2021 12:00:00 AM +0000,129,55,184,178,59,237,Update,06/14/2021 11:10:02 PM +0000
06/11/2021 12:00:00 AM +0000,177,44,221,162,52,214,Update,06/14/2021 11:10:02 PM +0000
06/07/2021 12:00:00 AM +0000,206,73,279,194,58,252,Update,06/14/2021 11:10:02 PM +0000
